变量名,中文含义,特征值说明_中文
LBXSGL,血清葡萄糖（生化面板，mg/dL；与空腹 GLU 模块不同来源）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSGLSI,血清葡萄糖（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSGTSI,γ-谷氨酰转肽酶 GGT（U/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSGTLC,GGT 检测注释/标记码,实验室检测注释/检测限/结果标记码（见官方 Codebook 中该变量 Value Range）
LBXSIR,血清铁（μg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSIRSI,血清铁（μmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSLDSI,乳酸脱氢酶 LDH（U/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSOSSI,血清渗透压（mOsm/kg，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSPH,血磷（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSPHSI,血磷（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSKSI,血钾（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSNASI,血钠（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSTB,总胆红素（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSTBSI,总胆红素（μmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSTBLC,胆红素检测注释/标记码,实验室检测注释/检测限/结果标记码（见官方 Codebook 中该变量 Value Range）
LBXSCA,总钙（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSCASI,总钙（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSCH,总胆固醇（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSCHSI,总胆固醇（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSTP,总蛋白（g/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSTPSI,总蛋白（g/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSTR,甘油三酯（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSTRSI,甘油三酯（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSUA,尿酸（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSUASI,尿酸（μmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
WTSAF2YR,空腹血糖子样本 2 年抽样权重（分析空腹指标时用）,空腹子样本 2 年抽样权重（连续正值；用于复杂抽样加权分析）
LBXGLU,空腹血糖（mg/dL）,连续数值，单位：mg/dL（空腹血糖）
LBDGLUSI,空腹血糖（mmol/L，SI）,连续数值，单位：mmol/L（SI）
LBXGH,糖化血红蛋白 HbA1c（%）,连续数值，单位：%（HbA1c）
MCQ160L,是否被告知有肝脏疾病（1=是 2=否 7/9 等见官方码表）,1=是 2=否 7=拒绝 9=不知道
MCQ160M,是否被告知有脂肪肝,1=是 2=否 7=拒绝 9=不知道
MCQ160N,是否被告知有肝炎,1=是 2=否 7=拒绝 9=不知道
MCQ160O,是否被告知有其他肝病,1=是 2=否 7=拒绝 9=不知道
PAQ605,工作相关剧烈活动（是否≥10分钟/次，致呼吸/心率明显增加）,1=是 2=否 7=拒绝 9=不知道（工作相关剧烈活动是否≥10分钟/次）
PAQ610,典型一周中剧烈工作活动天数,1–7=每周天数 77=拒绝 99=不知道
PAD615,典型日从事剧烈工作活动的时间（分钟）,10–840=分钟/典型日剧烈工作时长 7777=拒绝 9999=不知道
PAQ620,工作相关中等强度活动（是否≥10分钟/次）,1=是 2=否 7=拒绝 9=不知道（工作相关中等强度活动≥10分钟/次）
PAQ625,典型一周中中等强度工作活动天数,1–7=每周天数 77=拒绝 99=不知道
PAD630,典型日从事中等强度工作活动的时间（分钟）,10–840=分钟/典型日中等强度工作时长 7777=拒绝 9999=不知道
PAQ635,交通出行步行或骑车（是否≥10分钟/次）,1=是 2=否 7=拒绝 9=不知道（交通：步行/骑车≥10分钟/次）
PAQ640,典型一周中步行/骑车出行天数,1–7=每周天数 77=拒绝 99=不知道
PAD645,典型日步行或骑车交通时间（分钟）,10–660=分钟/典型日步行或骑车交通时长 7777=拒绝 9999=不知道
PAQ650,剧烈娱乐性运动（是否≥10分钟/次）,1=是 2=否 7=拒绝 9=不知道（剧烈娱乐性运动≥10分钟/次）
PAQ655,典型一周中剧烈娱乐运动天数,1–7=每周天数 77=拒绝 99=不知道
PAD660,典型日剧烈娱乐运动时间（分钟）,10–480=分钟/典型日剧烈娱乐时长 7777=拒绝 9999=不知道
PAQ665,中等强度娱乐性运动（是否≥10分钟/次）,1=是 2=否 7=拒绝 9=不知道（中等强度娱乐性运动≥10分钟/次）
PAQ670,典型一周中中等强度娱乐运动天数,1–7=每周天数 77=拒绝 99=不知道
PAD675,典型日中等强度娱乐运动时间（分钟）,10–540=分钟/典型日中等强度娱乐时长 7777=拒绝 9999=不知道
PAD680,典型日久坐总时间（分钟，不含睡眠）,0–1320=分钟/典型日久坐总时长（不含睡眠）7777=拒绝 9999=不知道
BMDSTATS,MEC 体格测量完成/缺失等状态码,体格测量状态码（见 BMX Codebook）
BMXWT,体重（kg）,体格测量连续值；单位见「中文含义」列（BMX Codebook）
BMXHT,身高（cm）,体格测量连续值；单位见「中文含义」列（BMX Codebook）
BMXBMI,体质指数 BMI（kg/m²）,体格测量连续值；单位见「中文含义」列（BMX Codebook）
BMXWAIST,腰围（cm）,体格测量连续值；单位见「中文含义」列（BMX Codebook）
BMXARMC,上臂围（cm）,体格测量连续值；单位见「中文含义」列（BMX Codebook）
BMXARML,上臂长（cm）,体格测量连续值；单位见「中文含义」列（BMX Codebook）
BPXSY1,收缩压第 1 次测量（mmHg）,血压/脉搏等多为连续数值（mmHg 或次/分）；见 BPX Codebook
BPXDI1,舒张压第 1 次测量（mmHg）,血压/脉搏等多为连续数值（mmHg 或次/分）；见 BPX Codebook
BPXPULS,30 秒脉搏计数（或相关编码，见 Codebook）,血压/脉搏等多为连续数值（mmHg 或次/分）；见 BPX Codebook
BPXPLS,桡动脉脉搏（次/分，见 Codebook）,血压/脉搏等多为连续数值（mmHg 或次/分）；见 BPX Codebook
LBXWBCSI,白细胞计数（×10⁹/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXLYPCT,淋巴细胞百分比（%）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXMOPCT,单核细胞百分比（%）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXNEPCT,中性粒细胞百分比（%）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXEOPCT,嗜酸性粒细胞百分比（%）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXBAPCT,嗜碱性粒细胞百分比（%）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDLYMNO,淋巴细胞绝对值（×10⁹/L）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDMONO,单核细胞绝对值（×10⁹/L）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDNENO,中性粒细胞绝对值（×10⁹/L）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDEONO,嗜酸性粒细胞绝对值（×10⁹/L）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDBANO,嗜碱性粒细胞绝对值（×10⁹/L）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXRBCSI,红细胞计数（×10¹²/L）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXHGB,血红蛋白（g/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXHCT,红细胞压积（%）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXMCVSI,平均红细胞体积 MCV（fL，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXMCHSI,平均红细胞血红蛋白量 MCH（pg，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXMC,平均红细胞血红蛋白浓度 MCHC（g/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXRDW,红细胞分布宽度 RDW（%）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXPLTSI,血小板计数（×10⁹/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXMPSI,平均血小板体积 MPV（fL，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXNRBC,有核红细胞（见 Codebook）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXHBC,乙肝核心抗体（抗-HBc）,1=阳性 2=阴性 3=不确定
LBDHBG,乙肝表面抗原 HBsAg,1=阳性 2=阴性 3=不确定（HBsAg）
LBDHD,丁肝抗体（抗-HDV）,1=阳性 2=阴性 3=不确定（抗-HDV）
SSLBDHD,丁肝抗体复测结果（2025 复测流程编码）,0/1/2/6=复测流程编码（见 HEPBD 说明）
LUAXSTAT,肝脏超声检查总体状态/是否完成等,检查完成/拒绝等状态（见 LUX Codebook）
LUARXNC,有效弹性成像测量次数等（见 Codebook）,肝脏 FibroScan 检查流程/质控编码（见 LUX Codebook）
LUARXND,弹性成像测量相关（见 Codebook）,肝脏 FibroScan 检查流程/质控编码（见 LUX Codebook）
LUARXIN,弹性成像无效原因等（见 Codebook）,肝脏 FibroScan 检查流程/质控编码（见 LUX Codebook）
LUAPNME,所用探头类型（M/XL 等编码）,肝脏 FibroScan 检查流程/质控编码（见 LUX Codebook）
LUANMVGP,有效测量次数等,肝脏 FibroScan 检查流程/质控编码（见 LUX Codebook）
LUANMTGP,总测量次数等,肝脏 FibroScan 检查流程/质控编码（见 LUX Codebook）
LUATECH,操作技术员或质控相关编码,肝脏 FibroScan 检查流程/质控编码（见 LUX Codebook）
LUXSMED,肝脏硬度（弹性值）中位数 E（kPa）等,FibroScan 硬度或 CAP 结果；连续型或 IQR；单位见「中文含义」
LUXSIQR,肝脏硬度 IQR（kPa）,FibroScan 硬度或 CAP 结果；连续型或 IQR；单位见「中文含义」
LUXSIQRM,肝脏硬度 IQR/中位数比值等,FibroScan 硬度或 CAP 结果；连续型或 IQR；单位见「中文含义」
LUXCAPM,CAP 中位数（肝脂肪变指标，单位 dB/m）,连续型，单位 dB/m（CAP 中位数）
LUXCPIQR,CAP 的 IQR（dB/m）,连续型，CAP 的四分位距
