变量名,中文含义,特征值说明_中文
LBXSGL,血清葡萄糖（生化面板，mg/dL；与空腹 GLU 模块不同来源）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSGLSI,血清葡萄糖（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSGTSI,γ-谷氨酰转肽酶 GGT（U/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSGTLC,GGT 检测注释/标记码,实验室检测注释/检测限/结果标记码（见官方 Codebook 中该变量 Value Range）
LBXSIR,血清铁（μg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSIRSI,血清铁（μmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSLDSI,乳酸脱氢酶 LDH（U/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSOSSI,血清渗透压（mOsm/kg，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSPH,血磷（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSPHSI,血磷（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSKSI,血钾（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSNASI,血钠（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSTB,总胆红素（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSTBSI,总胆红素（μmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSTBLC,胆红素检测注释/标记码,实验室检测注释/检测限/结果标记码（见官方 Codebook 中该变量 Value Range）
LBXSCA,总钙（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSCASI,总钙（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSCH,总胆固醇（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSCHSI,总胆固醇（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSTP,总蛋白（g/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSTPSI,总蛋白（g/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSTR,甘油三酯（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSTRSI,甘油三酯（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSUA,尿酸（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSUASI,尿酸（μmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
WTSAF2YR,空腹血糖子样本 2 年抽样权重（分析空腹指标时用）,空腹子样本 2 年抽样权重（连续正值；用于复杂抽样加权分析）
LBXGLU,空腹血糖（mg/dL）,连续数值，单位：mg/dL（空腹血糖）
LBDGLUSI,空腹血糖（mmol/L，SI）,连续数值，单位：mmol/L（SI）
MCQ160L,是否被告知有肝脏疾病（1=是 2=否 7/9 等见官方码表）,1=是 2=否 7=拒绝 9=不知道
MCQ160M,是否被告知有脂肪肝,1=是 2=否 7=拒绝 9=不知道
MCQ160N,是否被告知有肝炎,1=是 2=否 7=拒绝 9=不知道
MCQ160O,是否被告知有其他肝病,1=是 2=否 7=拒绝 9=不知道
flag_alt_high,ALT 是否高于示意阈值（>40 U/L，探索用非诊断）,1=高于脚本设定阈值 0=否（探索用）
flag_ast_high,AST 是否高于示意阈值（>40 U/L，探索用）,1=高于脚本设定阈值 0=否（探索用）
flag_ggt_high,GGT 是否高于示意阈值（>51 U/L，探索用）,1=高于脚本设定阈值 0=否（探索用）
flag_bili_high,总胆红素是否高于示意阈值（>1.2 mg/dL，探索用）,1=高于脚本设定阈值 0=否（探索用）
MCQ160L_yes,MCQ160L 二值化（1=自述是 0=自述否 缺失=未答/不适用）,1=自述是 0=自述否；缺失=未答/不适用
MCQ160M_yes,MCQ160M 二值化,1=自述是 0=自述否；缺失=未答/不适用
MCQ160N_yes,MCQ160N 二值化,1=自述是 0=自述否；缺失=未答/不适用
MCQ160O_yes,MCQ160O 二值化,1=自述是 0=自述否；缺失=未答/不适用
MCQ_liver_any_yes,上述四题任一项自述为「是」则为 1；全为「否」为 0；否则缺失,1=四题任一为是 0=四题均为否；缺失=无法判断
LBXIN,空腹胰岛素（μU/mL）,连续数值，单位：μU/mL（空腹胰岛素）
LBDINSI,空腹胰岛素（pmol/L，SI）,连续数值，单位：pmol/L（SI）
LBDINLC,胰岛素检测注释/检测下限等标记码,检测注释/检测下限等标记码（非实验室数值本身）
PAQ605,工作相关剧烈活动（是否≥10分钟/次，致呼吸/心率明显增加）,1=是 2=否 7=拒绝 9=不知道（工作相关剧烈活动是否≥10分钟/次）
PAQ610,典型一周中剧烈工作活动天数,1–7=每周天数 77=拒绝 99=不知道
PAD615,典型日从事剧烈工作活动的时间（分钟）,10–840=分钟/典型日剧烈工作时长 7777=拒绝 9999=不知道
PAQ620,工作相关中等强度活动（是否≥10分钟/次）,1=是 2=否 7=拒绝 9=不知道（工作相关中等强度活动≥10分钟/次）
PAQ625,典型一周中中等强度工作活动天数,1–7=每周天数 77=拒绝 99=不知道
PAD630,典型日从事中等强度工作活动的时间（分钟）,10–840=分钟/典型日中等强度工作时长 7777=拒绝 9999=不知道
PAQ635,交通出行步行或骑车（是否≥10分钟/次）,1=是 2=否 7=拒绝 9=不知道（交通：步行/骑车≥10分钟/次）
PAQ640,典型一周中步行/骑车出行天数,1–7=每周天数 77=拒绝 99=不知道
PAD645,典型日步行或骑车交通时间（分钟）,10–660=分钟/典型日步行或骑车交通时长 7777=拒绝 9999=不知道
PAQ650,剧烈娱乐性运动（是否≥10分钟/次）,1=是 2=否 7=拒绝 9=不知道（剧烈娱乐性运动≥10分钟/次）
PAQ655,典型一周中剧烈娱乐运动天数,1–7=每周天数 77=拒绝 99=不知道
PAD660,典型日剧烈娱乐运动时间（分钟）,10–480=分钟/典型日剧烈娱乐时长 7777=拒绝 9999=不知道
PAQ665,中等强度娱乐性运动（是否≥10分钟/次）,1=是 2=否 7=拒绝 9=不知道（中等强度娱乐性运动≥10分钟/次）
PAQ670,典型一周中中等强度娱乐运动天数,1–7=每周天数 77=拒绝 99=不知道
PAD675,典型日中等强度娱乐运动时间（分钟）,10–540=分钟/典型日中等强度娱乐时长 7777=拒绝 9999=不知道
PAD680,典型日久坐总时间（分钟，不含睡眠）,0–1320=分钟/典型日久坐总时长（不含睡眠）7777=拒绝 9999=不知道
ALQ111,饮酒问卷 ALQ111（ALQ，详见 NHANES Codebook）,ALQ 编码：是/否类常见 1=是 2=否；饮酒量、频次等多为数值或分类码；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
ALQ121,饮酒问卷 ALQ121（ALQ，详见 NHANES Codebook）,ALQ 编码：是/否类常见 1=是 2=否；饮酒量、频次等多为数值或分类码；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
ALQ130,饮酒问卷 ALQ130（ALQ，详见 NHANES Codebook）,ALQ 编码：是/否类常见 1=是 2=否；饮酒量、频次等多为数值或分类码；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
ALQ142,饮酒问卷 ALQ142（ALQ，详见 NHANES Codebook）,ALQ 编码：是/否类常见 1=是 2=否；饮酒量、频次等多为数值或分类码；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
ALQ270,饮酒问卷 ALQ270（ALQ，详见 NHANES Codebook）,ALQ 编码：是/否类常见 1=是 2=否；饮酒量、频次等多为数值或分类码；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
ALQ280,饮酒问卷 ALQ280（ALQ，详见 NHANES Codebook）,ALQ 编码：是/否类常见 1=是 2=否；饮酒量、频次等多为数值或分类码；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
ALQ290,饮酒问卷 ALQ290（ALQ，详见 NHANES Codebook）,ALQ 编码：是/否类常见 1=是 2=否；饮酒量、频次等多为数值或分类码；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
ALQ151,饮酒问卷 ALQ151（ALQ，详见 NHANES Codebook）,ALQ 编码：是/否类常见 1=是 2=否；饮酒量、频次等多为数值或分类码；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
ALQ170,饮酒问卷 ALQ170（ALQ，详见 NHANES Codebook）,ALQ 编码：是/否类常见 1=是 2=否；饮酒量、频次等多为数值或分类码；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ020,吸烟/烟草问卷 SMQ020（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMD030,吸烟/烟草问卷 SMD030（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ040,吸烟/烟草问卷 SMQ040（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ050Q,吸烟/烟草问卷 SMQ050Q（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ050U,吸烟/烟草问卷 SMQ050U（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMD057,吸烟/烟草问卷 SMD057（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ078,吸烟/烟草问卷 SMQ078（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMD641,吸烟/烟草问卷 SMD641（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMD650,吸烟/烟草问卷 SMD650（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMD093,吸烟/烟草问卷 SMD093（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMDUPCA,吸烟/烟草问卷 SMDUPCA（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMD100BR,吸烟/烟草问卷 SMD100BR（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMD100FL,吸烟/烟草问卷 SMD100FL（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMD100MN,吸烟/烟草问卷 SMD100MN（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMD100LN,吸烟/烟草问卷 SMD100LN（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMD100TR,吸烟/烟草问卷 SMD100TR（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMD100NI,吸烟/烟草问卷 SMD100NI（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMD100CO,吸烟/烟草问卷 SMD100CO（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ621,吸烟/烟草问卷 SMQ621（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMD630,吸烟/烟草问卷 SMD630（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ661,吸烟/烟草问卷 SMQ661（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ665A,吸烟/烟草问卷 SMQ665A（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ665B,吸烟/烟草问卷 SMQ665B（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ665C,吸烟/烟草问卷 SMQ665C（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ665D,吸烟/烟草问卷 SMQ665D（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ670,吸烟/烟草问卷 SMQ670（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ848,吸烟/烟草问卷 SMQ848（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ852Q,吸烟/烟草问卷 SMQ852Q（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ852U,吸烟/烟草问卷 SMQ852U（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ890,吸烟/烟草问卷 SMQ890（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ895,吸烟/烟草问卷 SMQ895（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ900,吸烟/烟草问卷 SMQ900（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ905,吸烟/烟草问卷 SMQ905（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ910,吸烟/烟草问卷 SMQ910（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMQ915,吸烟/烟草问卷 SMQ915（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SMAQUEX2,吸烟/烟草问卷 SMAQUEX2（SMQ，详见 NHANES Codebook）,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SLQ300,睡眠问卷 SLQ300（SLQ，详见 NHANES Codebook）,SLQ 编码：睡眠时长等多为小时数或分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SLQ310,睡眠问卷 SLQ310（SLQ，详见 NHANES Codebook）,SLQ 编码：睡眠时长等多为小时数或分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SLD012,睡眠问卷 SLD012（SLQ，详见 NHANES Codebook）,SLQ 编码：睡眠时长等多为小时数或分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SLQ320,睡眠问卷 SLQ320（SLQ，详见 NHANES Codebook）,SLQ 编码：睡眠时长等多为小时数或分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SLQ330,睡眠问卷 SLQ330（SLQ，详见 NHANES Codebook）,SLQ 编码：睡眠时长等多为小时数或分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SLD013,睡眠问卷 SLD013（SLQ，详见 NHANES Codebook）,SLQ 编码：睡眠时长等多为小时数或分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SLQ030,睡眠问卷 SLQ030（SLQ，详见 NHANES Codebook）,SLQ 编码：睡眠时长等多为小时数或分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SLQ040,睡眠问卷 SLQ040（SLQ，详见 NHANES Codebook）,SLQ 编码：睡眠时长等多为小时数或分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SLQ050,睡眠问卷 SLQ050（SLQ，详见 NHANES Codebook）,SLQ 编码：睡眠时长等多为小时数或分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
SLQ120,睡眠问卷 SLQ120（SLQ，详见 NHANES Codebook）,SLQ 编码：睡眠时长等多为小时数或分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook
